,0
449,9.8
450,9.79
451,9.48
452,9.73
453,9.55
454,9.43
455,8.98
456,8.85
457,9.89
458,9.45
459,9.64
460,9.6
461,10.44
462,10.21
463,10.14
464,9.51
465,9.64
466,10.02
467,10.55
468,10.07
469,9.92
470,9.77
471,9.41
472,9.74
473,10.03
474,9.94
475,10.64
476,9.92
477,10.17
478,10.07
479,9.38
480,9.92
481,10.27
482,10.27
483,10.75
484,10.78
485,11.47
486,11.6
487,11.86
488,12.03
489,11.58
490,11.68
491,11.73
492,11.78
493,11.67
494,11.56
495,12.04
496,12.12
497,11.85
498,11.54
499,11.51
500,11.03
501,11.25
502,10.97
503,11.51
504,11.23
505,10.89
506,10.82
507,10.63
508,10.51
509,10.5
510,10.71
511,10.97
512,11.11
513,11.85
514,12.03
515,11.84
516,11.72
517,12.21
518,12.64
519,12.96
520,12.61
521,12.61
522,12.87
523,13.16
524,13.14
525,13.26
526,13.05
527,12.69
528,12.53
529,13.06
530,12.72
531,12.86
532,12.71
533,12.73
534,13.34
535,12.97
536,13.1
537,13.08
538,13.09
539,12.71
540,12.74
541,12.47
542,12.73
543,13.09
544,13.42
545,13.09
546,13.17
547,12.61
548,12.7
549,12.85
550,13.17
551,13.36
552,13.6
553,13.12
554,12.71
555,12.37
556,12.33
557,12.21
558,11.94
559,12.29
560,12.72
561,12.68
562,12.96
563,13.16
564,11.78
565,11.4
566,11.57
567,12.3
568,12.6
569,12.83
570,12.78
571,12.31
572,12.75
573,12.8
574,12.85
575,13.42
576,13.49
577,13.5
578,13.38
579,13.38
580,13.03
581,12.83
582,13.14
583,13.07
584,13.07
585,12.78
586,12.98
587,12.63
588,12.58
589,12.65
590,12.33
591,12.14
592,12.58
593,12.66
594,12.84
595,12.99
596,13.1
597,13.01
598,13.3
599,13.41
600,13.66
601,13.57
602,13.63
603,13.68
604,13.53
605,13.52
606,13.47
607,13.48
608,13.5
609,13.28
610,13.59
611,13.43
612,13.65
613,13.92
614,13.85
615,14.08
616,14.24
617,14.14
618,13.69
619,13.7
620,13.36
621,13.46
622,13.16
623,13.36
624,13.13
625,13.13
626,13.49
627,13.43
628,13.28
629,13.05
630,13.09
631,13.61
632,13.49
633,13.54
634,13.68
635,13.75
636,13.85
637,13.86
638,14.0
639,14.04
640,14.0
641,13.85
642,14.01
643,13.68
644,14.0
645,13.99
646,14.17
647,14.03
648,14.3
649,14.12
650,14.07
651,14.12
652,14.11
653,13.97
654,14.1
655,13.85
656,13.83
657,13.6
658,13.74
659,13.76
660,13.69
661,13.81
662,13.42
663,12.99
664,13.19
665,13.2
666,13.21
667,12.97
668,13.05
669,13.14
670,12.96
671,12.98
672,12.85
673,12.75
674,13.4
675,13.69
676,13.62
677,13.75
678,13.9
679,13.94
680,14.05
681,13.62
682,14.04
683,13.98
684,14.09
685,13.68
686,13.95
687,13.87
688,14.02
689,13.92
690,13.95
691,14.04
692,13.91
693,13.97
694,14.1
695,14.21
696,14.21
697,14.21
698,14.4
699,14.4
700,14.23
701,14.44
702,14.55
